MEDIUM6.742574
MEDIUM1.438025
MEDIUM0.000000
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000002
MEDIUM0.000002
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000001
MEDIUM0.000000
MEDIUM0.000000
MEDIUM0.000002
MEDIUM1.035708
MEDIUM1.051293
